INSTNM,latitude,longitude,STABBR,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,PPTUG_EF
Frank Lloyd Wright School of Architecture,33.6072,-111.8465,AZ,0.7167,1048.0,2.0,8792.0,18259.0,0.46545000000000003,0.3333,0.3333,0.0
Glendale Community College,33.5675,-112.1883,AZ,0.7167,1048.0,16623.0,7763.0,18259.0,0.46545000000000003,0.1951,0.3814,0.6083
Grand Canyon University,33.5122,-112.1299,AZ,0.548,1048.0,34643.0,8792.0,28309.0,0.3036,0.6248,0.5262,0.7698
Anthem College-Phoenix,33.4943,-112.0502,AZ,0.7167,1048.0,2238.0,8792.0,28541.0,0.7996,0.8631,0.7791,0.0
International Academy of Hair Design,33.393,-111.8627,AZ,0.7167,1048.0,210.0,8792.0,15463.0,0.46545000000000003,0.7656,0.7182,0.0
Kaplan College-Phoenix,33.6082,-112.1189,AZ,0.7167,1048.0,93.0,8792.0,17360.0,0.46545000000000003,0.5452,0.5151,0.0
GateWay Community College,33.4495,-111.9965,AZ,0.7167,1048.0,5653.0,8106.0,18259.0,0.46545000000000003,0.242,0.3374,0.772
Mesa Community College,33.3913,-111.8715,AZ,0.7167,1048.0,20120.0,8868.0,18259.0,0.46545000000000003,0.2546,0.3726,0.6501
ITT Technical Institute-Tucson,32.2973,-110.9975,AZ,0.8388,1048.0,409.0,8792.0,22313.0,0.2182,0.7674,0.7304,0.2543
ITT Technical Institute-Tempe,33.3804,-111.9692,AZ,0.8388,1048.0,498.0,8792.0,22617.0,0.25,0.7983,0.68,0.2129
Mohave Community College,35.2707,-114.0302,AZ,0.7167,1048.0,4759.0,11346.0,18259.0,0.46545000000000003,0.2421,0.4772,0.713
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,33.6844,-112.1213,AZ,0.7167,1048.0,2049.0,8792.0,19523.0,0.46545000000000003,0.6593,0.4818,0.0
Dine College,36.3276,-109.2947,AZ,0.7167,1048.0,1402.0,8382.0,18259.0,0.0205,0.0,0.8223,0.3552
Northern Arizona University,35.1801,-111.6577,AZ,0.9137,1050.0,22011.0,15011.0,18259.0,0.4924,0.5571,0.3778,0.1561
Northland Pioneer College,34.9222,-110.1316,AZ,0.7167,1048.0,1641.0,9172.0,18259.0,0.46545000000000003,0.0,0.2942,0.7313
Ottawa University-Phoenix,33.5779,-112.1134,AZ,0.9888,1020.0,335.0,8792.0,18259.0,0.46545000000000003,0.7946,0.5982,0.994
Phoenix College,33.4814,-112.0883,AZ,0.7167,1048.0,10234.0,8091.0,18259.0,0.46545000000000003,0.2878,0.4733,0.6956
Cortiva Institute-Scottsdale,33.4666,-111.9084,AZ,0.7167,1048.0,87.0,8792.0,15318.0,0.46545000000000003,0.8079,0.5497,0.4483
University of Phoenix-Phoenix Campus,33.4123,-111.9802,AZ,0.7167,1048.0,3044.0,8792.0,18899.0,0.1568,0.6171,0.5242,0.0
Pima Community College,32.2268,-110.9852,AZ,0.7167,1048.0,26600.0,2759.0,18259.0,0.46545000000000003,0.1599,0.3268,0.608
Pima Medical Institute-Tucson,32.2504,-110.9213,AZ,0.7167,1048.0,1726.0,8792.0,16972.0,0.6189,0.6147,0.4898,0.0
Pima Medical Institute-Albuquerque,35.1055,-106.5947,NM,0.7167,1048.0,930.0,8792.0,15231.0,0.46545000000000003,0.7193,0.6183,0.0
Prescott College,34.5445,-112.4765,AZ,0.7293,1094.0,540.0,8792.0,23432.0,0.3768,0.6478,0.4547,0.187
Refrigeration School Inc,33.4487,-111.9894,AZ,0.7167,1048.0,621.0,8792.0,20099.0,0.46545000000000003,0.6808,0.6453,0.0
Rio Salado College,33.4131,-111.9752,AZ,0.7167,1048.0,10217.0,8214.0,18259.0,0.46545000000000003,0.2366,0.2559,0.8054
Roberto-Venn School of Luthiery,33.4547,-112.0864,AZ,0.7167,1048.0,39.0,8792.0,18252.0,0.46545000000000003,0.6167,0.4667,0.0
Hair Academy of Safford,32.8353,-109.7277,AZ,0.7167,1048.0,64.0,8792.0,4536.0,0.46545000000000003,0.1957,0.587,0.0
Scottsdale Community College,33.5095,-111.8873,AZ,0.7167,1048.0,7687.0,9264.0,18259.0,0.46545000000000003,0.171,0.2196,0.6065
South Mountain Community College,33.381,-112.0575,AZ,0.7167,1048.0,3980.0,7948.0,18259.0,0.46545000000000003,0.2666,0.5049,0.6518
Arizona Christian University,33.5951,-112.0262,AZ,0.6076,1045.0,491.0,8792.0,22493.0,0.4737,0.5183,0.328,0.0794
Tucson College,32.2218,-110.8835,AZ,0.7167,1048.0,284.0,8792.0,18630.0,0.46545000000000003,0.473,0.5714,0.0
Universal Technical Institute of Arizona Inc,33.4535,-112.2897,AZ,0.7167,1048.0,2337.0,8792.0,21445.0,0.46545000000000003,0.6294,0.4808,0.0
Western International University,33.6007,-112.1184,AZ,0.7167,1048.0,1369.0,8792.0,20176.0,0.1883,0.3922,0.3861,0.0
Empire Beauty School-NW Phoenix,33.5381,-112.1182,AZ,0.7167,1048.0,172.0,8792.0,12996.0,0.46545000000000003,0.7555,0.8056,0.2442
Yavapai College,34.5475,-112.4542,AZ,0.7167,1048.0,6072.0,8254.0,18259.0,0.46545000000000003,0.1244,0.3145,0.6374
University of Arkansas at Little Rock,34.7266,-92.3418,AR,0.5274,1077.0,8504.0,10087.0,18259.0,0.2438,0.4818,0.4027,0.3813
University of Arkansas for Medical Sciences,34.7497,-92.3209,AR,0.7167,1048.0,755.0,8792.0,18259.0,0.46545000000000003,0.6322,0.363,0.2543
ABC Beauty College Inc,34.1223,-93.0816,AR,0.7167,1048.0,32.0,8792.0,4923.0,0.46545000000000003,0.9474,0.9605,0.1563
Arkansas Baptist College,34.7348,-92.2906,AR,0.7167,1048.0,1022.0,8792.0,17087.0,0.1588,0.817,0.7107,0.1566
Arkansas Beauty School,34.6691,-92.3348,AR,0.7167,1048.0,37.0,8792.0,10167.0,0.46545000000000003,1.0,1.0,0.2703
Arkansas Beauty College,35.2786,-93.1352,AR,0.7167,1048.0,46.0,8792.0,9691.0,0.46545000000000003,0.9231,0.9231,0.0435
Lyon College,35.7789,-91.6281,AR,0.5898,1142.0,570.0,8792.0,12350.0,0.4965,0.6867,0.4617,0.0158
Arkansas College of Barbering and Hair Design,34.7536,-92.2663,AR,0.7167,1048.0,134.0,8792.0,16144.0,0.46545000000000003,0.6798,0.6629,0.0522
